GENENAME;MENTRETARD;DEVDELAY
MPI;0;1
MPLKIP;0;1
MPV17;0;1
MRE11A;0;1
MRTO4;1;0
MRX11;1;0
MRX12;1;0
MRX14;1;0
MRX15;1;0
MRX17;1;0
MRX18;1;0
MRX20;1;0
MRX23;1;0
MRX24;1;0
MRX25;1;0
MRX26;1;0
MRX27;1;0
MRX28;1;0
MRX31;1;0
MRX35;1;0
MRX37;1;0
MRX39;1;0
MRX4;1;0
MRX40;1;0
MRX42;1;0
MRX49;1;0
MRX5;1;0
MRX50;1;0
MRX51;1;0
MRX52;1;0
MRX53;1;0
MRX56;1;0
MRX57;1;0
MRX6;1;0
MRX61;1;0
MRX64;1;0
MRX65;1;0
MRXS11;1;0
MRXS7;1;0
MSRB3;0;1
MSX1;0;1
MSX2;0;1
MT-ATP6;1;0
MT-CO1;1;0
MT-CO2;1;0
MT-CO3;1;0
MT-CYB;1;0
MT-ND5;1;0
MT-TE;1;0
MT-TK;1;0
MT-TL1;1;0
MT-TS2;1;0
MT-TV;1;0
MTF1;1;1
MTHFR;1;1
MTM1;1;1
MTMR14;0;1
MTO1;0;1
MTOR;0;1
MTR;1;1
MTRR;1;1
MTTP;0;1
MUT;0;1
MYCN;0;1
MYH3;0;1
MYH6;0;1
MYH8;0;1
MYH9;0;1
MYO15A;0;1
MYO5A;1;1
MYO5B;0;1
MYO7A;0;1
MYOC;0;1
MYT1L;1;1
NAA10;1;1
NAA15;0;1
NAGA;0;1
NAGLU;1;1
NAGS;0;1
NALCN;0;1
NBN;0;1
NBS1;1;0
NDE1;0;1
NDNL2;0;1
NDP;1;1
NDST1;1;1
NDUFA1;1;1
NDUFAF2;0;1
NDUFS1;1;1
NDUFS2;1;0
NDUFS4;1;1
NDUFS7;1;1
NDUFS8;1;1
NDUFV1;1;1
NEB;0;1
NEDD4L;0;1
NEK1;0;1
NEK8;0;1
NEU1;1;1
NF1;1;1
NFIA;0;1
NFIX;0;1
NFU1;0;1
NGLY1;0;1
NHP2;0;1
NHS;1;1
NIPBL;0;1
NKX2-1;0;1
NKX2-5;0;1
NKX3-2;0;1
NLGN3;1;1
NLGN4X;1;1
NLRP3;1;0
NMNAT1;0;1
NODAL;0;1
NOG;0;1
NOP10;0;1
NOTCH1;0;1
NOTCH2;0;1
NOTCH3;0;1
NP;1;0
NPC1;1;1
NPC2;1;1
NPHP1;0;1
NPHP3;0;1
NPHP4;0;1
NPHS1;0;1
NPHS2;0;1
NPR2;0;1
NR1I3;0;1
NR2F1;0;1
NR2F2;0;1
NR5A1;0;1
NRAS;0;1
NRXN1;1;1
NRXN2;0;1
NRXN3;0;1
NSD1;1;1
NSDHL;0;1
NSUN2;1;1
NT5C3A;0;1
NTRK1;1;1
NUBPL;0;1
NUP62;0;1
NXF5;1;0
NYX;0;1
OAT;1;0
OBSL1;0;1
OCRL;1;1
OFD1;1;1
OPHN1;1;1
ORC1;0;1
ORC4;0;1
ORC6;0;1
OTC;1;1
OTOA;0;1
OTOF;0;1
OTOGL;0;1
OTX2;0;1
OXCT1;0;1
PACS1;1;1
PAFAH1B1;1;1
PAH;1;1
PAK3;1;1
PALB2;0;1
PANK2;1;0
PAPSS2;0;1
PARP1;1;1
PAX2;0;1
PAX3;0;1
PAX6;0;1
PAX8;1;1
PAX9;0;1
PC;1;1
